GrainID/Step;;;;;;;;;0;80000;160000;240000;320000;400000;480000;560000;640000;720000;800000;880000;960000;1.04e+06;1.12e+06;1.2e+06;1.28e+06;1.36e+06;1.44e+06;1.52e+06;1.6e+06;1.68e+06;1.76e+06;1.84e+06;1.92e+06;2e+06;2.08e+06;2.16e+06;2.24e+06;2.32e+06;2.4e+06;2.48e+06;2.56e+06;2.64e+06;2.72e+06;2.8e+06;2.88e+06;2.96e+06;3.04e+06;3.12e+06;3.2e+06;3.28e+06;3.36e+06;3.44e+06;3.52e+06;3.6e+06;3.68e+06;3.76e+06;3.84e+06;3.92e+06;4e+06;4.08e+06;4.16e+06;4.24e+06;4.32e+06;4.4e+06;4.48e+06;4.56e+06;4.64e+06;4.72e+06;4.8e+06;4.88e+06;4.96e+06;5.04e+06;5.12e+06;5.2e+06;5.28e+06;5.36e+06;5.44e+06;5.52e+06;5.6e+06;5.68e+06;5.76e+06;5.84e+06;5.92e+06;6e+06;6.08e+06;6.16e+06;6.24e+06;6.32e+06;6.4e+06;6.48e+06;6.56e+06;6.64e+06;6.72e+06;6.8e+06;6.88e+06;6.96e+06;7.04e+06;7.12e+06;7.2e+06;7.28e+06;7.36e+06;7.44e+06;7.52e+06;7.6e+06;7.68e+06;7.76e+06;7.84e+06;7.92e+06;8e+06
Step;;;;;;;;;0;26;36;39;45;49;52;55;56;59;62;63;65;68;69;71;72;74;75;78;79;80;81;82;84;85;87;88;89;91;92;94;95;96;97;98;99;100;101;102;104;105;106;107;108;110;111;112;113;114;115;116;117;118;120;121;122;123;124;125;126;127;128;130;131;132;133;134;136;137;138;139;140;142;143;145;146;147;149;150;152;154;156;157;159;161;163;165;167;169;172;175;178;181;184;188;193;199;207;220;308
Time;;;;;;;;;0;38.012;53.2168;57.7782;66.9011;72.983;77.5444;82.1059;83.6264;88.1878;92.7492;94.2697;97.3107;101.872;103.393;106.434;107.954;110.995;112.515;117.077;118.597;120.118;121.638;123.159;126.2;127.72;130.761;132.282;133.802;136.843;138.364;141.405;142.925;144.446;145.966;147.487;149.007;150.527;152.048;153.568;156.609;158.13;159.65;161.171;162.691;165.732;167.253;168.773;170.294;171.814;173.335;174.855;176.376;177.896;180.937;182.458;183.978;185.498;187.019;188.539;190.06;191.58;193.101;196.142;197.662;199.183;200.703;202.224;205.265;206.785;208.306;209.826;211.347;214.388;215.908;218.949;220.47;221.99;225.031;226.551;229.592;232.633;235.674;237.195;240.236;243.277;246.318;249.359;252.4;255.441;260.002;264.563;269.125;273.686;278.248;284.33;291.932;301.055;313.219;332.985;466.787
X;;;;;;;;;0.000118375;0.0109694;0.0238241;0.0307796;0.0425063;0.0570312;0.0671176;0.0777557;0.0830083;0.0960464;0.109514;0.112024;0.124264;0.139184;0.146531;0.154441;0.164074;0.171209;0.18302;0.202682;0.209459;0.210219;0.222034;0.230873;0.241795;0.252572;0.26315;0.275695;0.281813;0.299591;0.307495;0.323157;0.332726;0.335191;0.346531;0.3576;0.363;0.370286;0.383124;0.390061;0.40978;0.418104;0.421463;0.436155;0.445674;0.461314;0.472279;0.477229;0.4862;0.499165;0.506256;0.511939;0.526373;0.53442;0.552778;0.561903;0.565625;0.577984;0.58864;0.593291;0.602622;0.614876;0.620675;0.640301;0.64761;0.651695;0.664435;0.672859;0.687612;0.6972;0.701497;0.710011;0.720519;0.731739;0.742596;0.752925;0.763315;0.770565;0.782777;0.790633;0.80131;0.813802;0.827419;0.83218;0.843744;0.852102;0.864503;0.872621;0.881786;0.891466;0.903159;0.913722;0.92336;0.93217;0.940284;0.950466;0.960378;0.970353;0.980099;0.990279;1
Sv;;;;phi1;PHI;phi2;IdealOri;;947;181332;288815;330426;429782;466531;542710;594849;589442;621270;689034;718142;751979;791423;782228;843854;836389;891093;885630;928948;929541;952509;951530;966530;1011766;999688;1036100;1027011;1036374;1048579;1067097;1077664;1081035;1089994;1110491;1091540;1096287;1110470;1097645;1119407;1119114;1123843;1128599;1122022;1113320;1126992;1101401;1115162;1122650;1103257;1109102;1109670;1096891;1087712;1074868;1055882;1062423;1067598;1036831;1036637;1037871;1013700;1006120;985176;966882;968576;957238;932060;927483;895420;885710;881673;856309;841576;821927;794239;780089;752924;737476;707351;690303;647021;622448;599474;576396;540083;511068;490645;453575;430730;393197;357871;321098;286687;255441;220785;177945;138092;97742;50526;5
0;;;;;1.0472;0.959931;0.785398;1;7999053;7912245;7809407;7753763;7659950;7543750;7463059;7377954;7335934;7231629;7123891;7103810;7005885;6886531;6827750;6764473;6687405;6630327;6535837;6378546;6324324;6318251;6223730;6153014;6065642;5979428;5894801;5794443;5745499;5603269;5540042;5414743;5338190;5318471;5227755;5139197;5095997;5037709;4935007;4879513;4721761;4655169;4628296;4510756;4434611;4309486;4221767;4182166;4110401;4006676;3949954;3904491;3789015;3724643;3577777;3504778;3475001;3376127;3290877;3253674;3179022;3080996;3034604;2877590;2819123;2786439;2684522;2617130;2499102;2422402;2388021;2319914;2235845;2146091;2059230;1976601;1893483;1835482;1737785;1674935;1589518;1489581;1380644;1342560;1250051;1183186;1083974;1019030;945711;868274;774727;690223;613123;542641;477726;396271;316973;237174;159209;77769;0
;ix;iy;iz;boundarycontact;phi1;PHI;phi2;IdealOri;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;18;153;175;0;0;0.523599;0.785398;2;1;93;203;263;363;489;573;660;705;812;920;941;1039;1161;1220;1287;1365;1424;1520;1682;1737;1744;1844;1915;2010;2099;2191;2296;2344;2502;2567;2704;2785;2806;2906;3003;3048;3118;3234;3295;3479;3555;3586;3721;3808;3958;4060;4103;4193;4315;4376;4438;4574;4648;4827;4915;4955;5071;5178;5222;5313;5437;5489;5693;5763;5812;5944;6029;6190;6290;6336;6426;6529;6643;6742;6844;6935;6999;7103;7169;7252;7348;7456;7478;7564;7610;7685;7736;7771;7823;7866;7895;7918;7933;7945;7955;7964;7966;7967;7967;7967
1;78;172;39;0;0;0.523599;0.785398;2;1;93;203;263;365;493;583;679;727;847;973;997;1113;1257;1329;1407;1503;1575;1695;1899;1971;1979;2105;2201;2321;2441;2561;2703;2771;2971;3057;3235;3341;3368;3498;3621;3678;3761;3901;3975;4189;4280;4312;4468;4576;4736;4856;4906;4990;5124;5198;5243;5390;5478;5649;5748;5777;5889;6005;6051;6134;6259;6319;6502;6572;6601;6721;6797;6922;7013;7044;7109;7206;7287;7385;7458;7546;7607;7692;7757;7827;7925;8020;8056;8131;8189;8280;8332;8393;8456;8524;8584;8632;8674;8712;8758;8798;8829;8852;8867;8868
2;73;161;122;0;0;0.523599;0.785398;2;1;93;203;263;360;472;552;634;674;773;874;894;987;1103;1158;1220;1290;1347;1430;1577;1630;1636;1722;1788;1872;1952;2035;2128;2178;2312;2375;2497;2574;2596;2687;2777;2824;2880;2986;3047;3206;3281;3305;3432;3519;3657;3757;3806;3880;4000;4073;4120;4257;4341;4518;4613;4649;4774;4888;4939;5032;5170;5239;5461;5552;5593;5748;5857;6040;6170;6228;6338;6487;6644;6796;6949;7104;7215;7404;7525;7697;7900;8125;8209;8397;8542;8761;8906;9089;9274;9502;9717;9927;10132;10334;10611;10898;11214;11540;11922;12348
