Time=468.308s,NGrains=947,Vref=8e+06,Mean=8447.73,Median=7828,StdDev=3499.87,Min=-1,Max=1e+36
Rank;Volume/Cells;IncubationTime/s;Ideal(RANDOMis0);ln(Vi/Vav);CumSumi/Vref*100%
0;1094;0;2;-2.04406;0.013675
0;1478;0;2;-1.74321;0.03215
0;2020;0;2;-1.4308;0.0574
0;2078;0;2;-1.40249;0.083375
0;2118;0;2;-1.38343;0.10985
0;2192;0;2;-1.34908;0.13725
0;2395;0;2;-1.26051;0.167187
0;2447;0;2;-1.23903;0.197775
0;2474;0;2;-1.22806;0.2287
0;2514;0;2;-1.21202;0.260125
0;2515;0;2;-1.21162;0.291563
0;2540;0;2;-1.20173;0.323313
0;2565;0;2;-1.19194;0.355375
0;2591;0;2;-1.18185;0.387763
0;2613;0;2;-1.1734;0.420425
0;2631;0;2;-1.16653;0.453313
0;2666;0;2;-1.15332;0.486638
0;2671;0;2;-1.15144;0.520025
0;2713;0;2;-1.13584;0.553937
0;2799;0;2;-1.10464;0.588925
0;2902;0;2;-1.0685;0.6252
0;2933;0;2;-1.05787;0.661863
0;2975;0;2;-1.04365;0.69905
0;3008;0;2;-1.03262;0.73665
0;3057;0;2;-1.01646;0.774863
0;3066;0;2;-1.01352;0.813188
0;3067;0;2;-1.0132;0.851525
0;3077;0;2;-1.00994;0.889987
0;3108;0;2;-0.999918;0.928837
0;3229;0;2;-0.961725;0.9692
0;3237;0;2;-0.959251;1.00966
0;3243;0;2;-0.957399;1.0502
0;3253;0;2;-0.95432;1.09086
0;3276;0;2;-0.947275;1.13181
0;3383;0;2;-0.915135;1.1741
0;3415;0;2;-0.90572;1.21679
0;3417;0;2;-0.905135;1.2595
0;3427;0;2;-0.902212;1.30234
0;3472;0;2;-0.889167;1.34574
0;3495;0;2;-0.882564;1.38943
0;3524;0;2;-0.874301;1.43348
0;3570;0;2;-0.861332;1.4781
0;3571;0;2;-0.861052;1.52274
0;3601;0;2;-0.852686;1.56775
0;3693;0;2;-0.827459;1.61391
0;3722;0;2;-0.819637;1.66044
0;3758;0;2;-0.810011;1.70741
0;3770;0;2;-0.806823;1.75454
0;3787;0;2;-0.802324;1.80187
0;3810;0;2;-0.796269;1.8495
0;3830;0;2;-0.791033;1.89738
0;3840;0;2;-0.788425;1.94537
0;3849;0;2;-0.786084;1.99349
0;3864;0;2;-0.782195;2.04179
0;3896;0;2;-0.773947;2.09049
0;3903;0;2;-0.772152;2.13928
0;3915;0;2;-0.769082;2.18821
0;3924;0;2;-0.766786;2.23726
0;3933;0;2;-0.764495;2.28642
0;3938;0;2;-0.763225;2.33565
0;3942;0;2;-0.76221;2.38492
0;3955;0;2;-0.758917;2.43436
0;4011;0;2;-0.744857;2.4845
0;4019;0;2;-0.742865;2.53474
0;4038;0;2;-0.738148;2.58521
0;4052;0;2;-0.734687;2.63586
0;4105;0;2;-0.721692;2.68717
0;4113;0;2;-0.719745;2.73859
0;4116;0;2;-0.719016;2.79004
0;4135;0;2;-0.71441;2.84173
0;4149;0;2;-0.71103;2.89359
0;4150;0;2;-0.710789;2.94546
0;4157;0;2;-0.709104;2.99743
0;4177;0;2;-0.704304;3.04964
0;4179;0;2;-0.703826;3.10188
0;4209;0;2;-0.696673;3.15449
0;4211;0;2;-0.696198;3.20713
0;4221;0;2;-0.693826;3.25989
0;4232;0;2;-0.691223;3.31279
0;4237;0;2;-0.690042;3.36575
0;4253;0;2;-0.686273;3.41891
0;4259;0;2;-0.684863;3.47215
0;4286;0;2;-0.678544;3.52572
0;4287;0;2;-0.678311;3.57931
0;4295;0;2;-0.676446;3.633
0;4331;0;2;-0.668099;3.68714
0;4341;0;2;-0.665793;3.7414
0;4347;0;2;-0.664412;3.79574
0;4357;0;2;-0.662114;3.8502
0;4359;0;2;-0.661655;3.90469
0;4401;0;2;-0.652066;3.9597
0;4424;0;2;-0.646853;4.015
0;4434;0;2;-0.644596;4.07043
0;4439;0;2;-0.643469;4.12591
0;4444;0;2;-0.642343;4.18146
0;4463;0;2;-0.638077;4.23725
0;4487;0;2;-0.632713;4.29334
0;4496;0;2;-0.63071;4.34954
0;4509;0;2;-0.627822;4.4059
0;4510;0;2;-0.627601;4.46227
0;4511;0;2;-0.627379;4.51866
0;4529;0;2;-0.623397;4.57528
0;4537;0;2;-0.621632;4.63199
0;4541;0;2;-0.62075;4.68875
0;4544;0;2;-0.62009;4.74555
0;4553;0;2;-0.618111;4.80246
0;4573;0;2;-0.613728;4.85963
0;4602;0;2;-0.607407;4.91715
0;4632;0;2;-0.600909;4.97505
0;4651;0;2;-0.596815;5.03319
0;4677;0;2;-0.591241;5.09165
0;4719;0;2;-0.582301;5.15064
0;4735;0;2;-0.578916;5.20982
0;4754;0;2;-0.574911;5.26925
0;4759;0;2;-0.57386;5.32874
0;4788;0;2;-0.567785;5.38859
0;4801;0;2;-0.565073;5.4486
0;4812;0;2;-0.562785;5.50875
0;4814;0;2;-0.562369;5.56893
0;4820;0;2;-0.561124;5.62918
0;4828;0;2;-0.559465;5.68952
0;4837;0;2;-0.557603;5.74999
0;4841;0;2;-0.556776;5.8105
0;4851;0;2;-0.554713;5.87114
0;4857;0;2;-0.553477;5.93185
0;4864;0;2;-0.552037;5.99265
0;4868;0;2;-0.551215;6.0535
0;4873;0;2;-0.550188;6.11441
0;4881;0;2;-0.548548;6.17542
0;4883;0;2;-0.548138;6.23646
0;4901;0;2;-0.544458;6.29772
0;4917;0;2;-0.541199;6.35919
0;4951;0;2;-0.534308;6.42108
0;4955;0;2;-0.533501;6.48301
0;4965;0;2;-0.531484;6.54508
0;4970;0;2;-0.530478;6.6072
0;4983;0;2;-0.527866;6.66949
0;4984;0;2;-0.527665;6.73179
0;4987;0;2;-0.527063;6.79412
0;4992;0;2;-0.526061;6.85652
0;5007;0;2;-0.523061;6.91911
0;5011;0;2;-0.522262;6.98175
0;5024;0;2;-0.519671;7.04455
0;5027;0;2;-0.519074;7.10739
0;5070;0;2;-0.510557;7.17076
0;5087;0;2;-0.507209;7.23435
0;5099;0;2;-0.504853;7.29809
0;5108;0;2;-0.50309;7.36194
0;5122;0;2;-0.500353;7.42596
0;5122;0;2;-0.500353;7.48999
0;5125;0;2;-0.499767;7.55405
0;5137;0;2;-0.497428;7.61826
0;5148;0;2;-0.495289;7.68261
0;5148;0;2;-0.495289;7.74696
0;5154;0;2;-0.494125;7.81139
0;5155;0;2;-0.493931;7.87582
0;5159;0;2;-0.493155;7.94031
0;5177;0;2;-0.489672;8.00502
0;5193;0;2;-0.486586;8.06994
0;5209;0;2;-0.48351;8.13505
0;5220;0;2;-0.4814;8.2003
0;5243;0;2;-0.477004;8.26584
0;5245;0;2;-0.476622;8.3314
0;5246;0;2;-0.476432;8.39697
0;5247;0;2;-0.476241;8.46256
0;5261;0;2;-0.473577;8.52833
0;5266;0;2;-0.472627;8.59415
0;5270;0;2;-0.471867;8.66003
0;5286;0;2;-0.468836;8.7261
0;5289;0;2;-0.468269;8.79221
0;5300;0;2;-0.466191;8.85846
0;5303;0;2;-0.465625;8.92475
0;5306;0;2;-0.465059;8.99108
0;5310;0;2;-0.464306;9.05745
0;5313;0;2;-0.463741;9.12386
0;5320;0;2;-0.462424;9.19036
0;5326;0;2;-0.461297;9.25694
0;5331;0;2;-0.460359;9.32357
0;5336;0;2;-0.459421;9.39027
0;5340;0;2;-0.458672;9.45702
0;5389;0;2;-0.449538;9.52439
0;5409;0;2;-0.445833;9.592
0;5409;0;2;-0.445833;9.65961
0;5422;0;2;-0.443433;9.72739
0;5429;0;2;-0.442143;9.79525
0;5456;0;2;-0.437182;9.86345
0;5458;0;2;-0.436815;9.93168
0;5481;0;2;-0.43261;10.0002
0;5492;0;2;-0.430605;10.0688
0;5494;0;2;-0.430241;10.1375
0;5495;0;2;-0.430059;10.2062
0;5496;0;2;-0.429877;10.2749
0;5506;0;2;-0.428059;10.3437
0;5506;0;2;-0.428059;10.4125
0;5521;0;2;-0.425339;10.4816
0;5535;0;2;-0.422806;10.5508
0;5539;0;2;-0.422084;10.62
0;5542;0;2;-0.421542;10.6893
0;5565;0;2;-0.417401;10.7588
0;5579;0;2;-0.414888;10.8286
0;5586;0;2;-0.413634;10.8984
0;5586;0;2;-0.413634;10.9682
0;5600;0;2;-0.411131;11.0382
0;5614;0;2;-0.408634;11.1084
0;5617;0;2;-0.4081;11.1786
0;5620;0;2;-0.407566;11.2489
0;5628;0;2;-0.406144;11.3192
0;5639;0;2;-0.404191;11.3897
0;5641;0;2;-0.403836;11.4602
0;5642;0;2;-0.403659;11.5307
0;5643;0;2;-0.403482;11.6013
0;5677;0;2;-0.397475;11.6722
0;5695;0;2;-0.394309;11.7434
0;5696;0;2;-0.394134;11.8146
0;5704;0;2;-0.39273;11.8859
0;5707;0;2;-0.392204;11.9573
0;5709;0;2;-0.391854;12.0286
0;5721;0;2;-0.389754;12.1001
0;5723;0;2;-0.389405;12.1717
0;5725;0;2;-0.389055;12.2432
0;5732;0;2;-0.387833;12.3149
0;5751;0;2;-0.384524;12.3868
0;5752;0;2;-0.38435;12.4587
0;5752;0;2;-0.38435;12.5306
0;5768;0;2;-0.381572;12.6027
0;5776;0;2;-0.380186;12.6749
0;5779;0;2;-0.379667;12.7471
0;5789;0;2;-0.377938;12.8195
0;5793;0;2;-0.377247;12.8919
0;5794;0;2;-0.377075;12.9643
0;5800;0;2;-0.37604;13.0368
0;5805;0;2;-0.375178;13.1094
0;5806;0;2;-0.375006;13.1819
0;5810;0;2;-0.374317;13.2546
0;5842;0;2;-0.368825;13.3276
0;5842;0;2;-0.368825;13.4006
0;5866;0;2;-0.364725;13.4739
0;5867;0;2;-0.364554;13.5473
0;5868;0;2;-0.364384;13.6206
0;5874;0;2;-0.363362;13.694
0;5890;0;2;-0.360642;13.7677
0;5904;0;2;-0.358268;13.8415
0;5911;0;2;-0.357083;13.9154
0;5928;0;2;-0.354211;13.9895
0;5944;0;2;-0.351515;14.0638
0;5951;0;2;-0.350338;14.1381
0;5963;0;2;-0.348324;14.2127
0;5970;0;2;-0.347151;14.2873
0;5980;0;2;-0.345477;14.3621
0;5988;0;2;-0.34414;14.4369
0;5998;0;2;-0.342472;14.5119
0;6008;0;2;-0.340806;14.587
