Step;RediscrTime/s;SumRediscrVolume--8e+06--;X;lnt;ln(-ln(1-X))
0;0.468776;2017.55;0.000252193;-0.757629;-8.28519
1;0.937553;3088.09;0.000386011;-0.0644821;-7.85945
2;1.40633;4158.64;0.000519829;0.340983;-7.56175
3;1.87511;5229.18;0.000653648;0.628665;-7.33262
4;2.34388;6299.73;0.000787466;0.851809;-7.1463
5;2.81266;7370.27;0.000921284;1.03413;-6.98928
6;3.28144;8440.82;0.0010551;1.18828;-6.85359
7;3.75021;9511.36;0.00118892;1.32181;-6.73412
8;4.21899;10581.9;0.00132274;1.4396;-6.62739
9;4.68776;11652.5;0.00145656;1.54496;-6.53095
10;5.15654;12723;0.00159037;1.64027;-6.44299
11;5.62532;13793.5;0.00172419;1.72728;-6.36213
12;6.09409;14864.1;0.00185801;1.80732;-6.28732
13;6.56287;15934.6;0.00199183;1.88143;-6.21771
14;7.03165;17005.2;0.00212565;1.95042;-6.15262
15;7.50042;18075.7;0.00225947;2.01496;-6.0915
16;7.9692;19146.3;0.00239328;2.07558;-6.03389
17;8.43798;20216.8;0.0025271;2.13274;-5.97942
18;8.90675;21287.4;0.00266092;2.18681;-5.92775
19;9.37553;22357.9;0.00279474;2.2381;-5.87862
20;9.84431;23428.4;0.00292856;2.28689;-5.83178
21;10.3131;24499;0.00306237;2.33341;-5.78703
22;10.7819;25569.5;0.00319619;2.37786;-5.74419
23;11.2506;26640.1;0.00333001;2.42042;-5.70311
24;11.7194;27710.6;0.00346383;2.46125;-5.66365
25;12.1882;28781.2;0.00359765;2.50047;-5.62567
26;12.657;29851.7;0.00373146;2.53821;-5.58909
27;13.1257;30922.3;0.00386528;2.57458;-5.55378
28;13.5945;31992.8;0.0039991;2.60967;-5.51968
29;14.0633;33063.4;0.00413292;2.64357;-5.4867
30;14.5321;34133.9;0.00426674;2.67636;-5.45477
31;15.0008;35204.4;0.00440056;2.70811;-5.42382
32;15.4696;36275;0.00453437;2.73888;-5.3938
33;15.9384;37345.5;0.00466819;2.76873;-5.36464
34;16.4072;38416.1;0.00480201;2.79772;-5.33631
35;16.876;39486.6;0.00493583;2.82589;-5.30876
36;17.3447;40557.2;0.00506965;2.85329;-5.28194
37;17.8135;41627.7;0.00520346;2.87996;-5.25582
38;18.2823;42698.3;0.00533728;2.90593;-5.23036
39;18.7511;43768.8;0.0054711;2.93125;-5.20553
40;19.2198;44839.3;0.00560492;2.95594;-5.1813
41;19.6886;45909.9;0.00573874;2.98004;-5.15764
42;20.1574;46980.4;0.00587255;3.00357;-5.13452
43;20.6262;48051;0.00600637;3.02656;-5.11192
44;21.0949;49121.5;0.00614019;3.04903;-5.08982
45;21.5637;50192.1;0.00627401;3.07101;-5.06819
46;22.0325;51262.6;0.00640783;3.09252;-5.04702
47;22.5013;52333.2;0.00654165;3.11357;-5.02629
48;22.97;53403.7;0.00667546;3.13419;-5.00597
49;23.4388;54474.3;0.00680928;3.15439;-4.98605
50;23.9076;55544.8;0.0069431;3.1742;-4.96653
51;24.3764;56615.3;0.00707692;3.19361;-4.94737
52;24.8452;57685.9;0.00721074;3.21266;-4.92857
53;25.3139;58756.4;0.00734455;3.23135;-4.91011
54;25.7827;59827;0.00747837;3.2497;-4.89199
55;26.2515;60897.5;0.00761219;3.26772;-4.87419
56;26.7203;61968.1;0.00774601;3.28542;-4.85669
57;27.189;63038.6;0.00787983;3.30281;-4.8395
58;27.6578;64109.2;0.00801364;3.31991;-4.82259
59;28.1266;65179.7;0.00814746;3.33672;-4.80596
60;28.5954;66250.2;0.00828128;3.35324;-4.7896
61;29.0641;67320.8;0.0084151;3.36951;-4.77351
62;29.5329;68391.3;0.00854892;3.38551;-4.75766
63;30.0017;69461.9;0.00868274;3.40125;-4.74206
