Step;RediscrTime/s;RANDOM-phi1-PHI-phi2;0-60-55-45;1-0-30-45;SumRediscrVolume=8e+06
0;0.468776;0;7.99798e+06;2017.55;
1;0.937553;0;7.99691e+06;3088.09;
2;1.40633;0;7.99584e+06;4158.64;
3;1.87511;0;7.99477e+06;5229.18;
4;2.34388;0;7.9937e+06;6299.73;
5;2.81266;0;7.99263e+06;7370.27;
6;3.28144;0;7.99156e+06;8440.82;
7;3.75021;0;7.99049e+06;9511.36;
8;4.21899;0;7.98942e+06;10581.9;
9;4.68776;0;7.98835e+06;11652.5;
10;5.15654;0;7.98728e+06;12723;
11;5.62532;0;7.98621e+06;13793.5;
12;6.09409;0;7.98514e+06;14864.1;
13;6.56287;0;7.98407e+06;15934.6;
14;7.03165;0;7.98299e+06;17005.2;
15;7.50042;0;7.98192e+06;18075.7;
16;7.9692;0;7.98085e+06;19146.3;
17;8.43798;0;7.97978e+06;20216.8;
18;8.90675;0;7.97871e+06;21287.4;
19;9.37553;0;7.97764e+06;22357.9;
20;9.84431;0;7.97657e+06;23428.4;
21;10.3131;0;7.9755e+06;24499;
22;10.7819;0;7.97443e+06;25569.5;
23;11.2506;0;7.97336e+06;26640.1;
24;11.7194;0;7.97229e+06;27710.6;
25;12.1882;0;7.97122e+06;28781.2;
26;12.657;0;7.97015e+06;29851.7;
27;13.1257;0;7.96908e+06;30922.3;
28;13.5945;0;7.96801e+06;31992.8;
29;14.0633;0;7.96694e+06;33063.4;
30;14.5321;0;7.96587e+06;34133.9;
31;15.0008;0;7.9648e+06;35204.4;
32;15.4696;0;7.96373e+06;36275;
33;15.9384;0;7.96265e+06;37345.5;
34;16.4072;0;7.96158e+06;38416.1;
35;16.876;0;7.96051e+06;39486.6;
36;17.3447;0;7.95944e+06;40557.2;
37;17.8135;0;7.95837e+06;41627.7;
38;18.2823;0;7.9573e+06;42698.3;
39;18.7511;0;7.95623e+06;43768.8;
40;19.2198;0;7.95516e+06;44839.3;
41;19.6886;0;7.95409e+06;45909.9;
42;20.1574;0;7.95302e+06;46980.4;
43;20.6262;0;7.95195e+06;48051;
44;21.0949;0;7.95088e+06;49121.5;
45;21.5637;0;7.94981e+06;50192.1;
46;22.0325;0;7.94874e+06;51262.6;
47;22.5013;0;7.94767e+06;52333.2;
48;22.97;0;7.9466e+06;53403.7;
49;23.4388;0;7.94553e+06;54474.3;
50;23.9076;0;7.94446e+06;55544.8;
51;24.3764;0;7.94338e+06;56615.3;
52;24.8452;0;7.94231e+06;57685.9;
53;25.3139;0;7.94124e+06;58756.4;
54;25.7827;0;7.94017e+06;59827;
55;26.2515;0;7.9391e+06;60897.5;
56;26.7203;0;7.93803e+06;61968.1;
57;27.189;0;7.93696e+06;63038.6;
58;27.6578;0;7.93589e+06;64109.2;
59;28.1266;0;7.93482e+06;65179.7;
60;28.5954;0;7.93375e+06;66250.2;
61;29.0641;0;7.93268e+06;67320.8;
62;29.5329;0;7.93161e+06;68391.3;
63;30.0017;0;7.93054e+06;69461.9;
64;30.4705;0;7.92947e+06;70532.4;
65;30.9392;0;7.9284e+06;71603;
66;31.408;0;7.92733e+06;72673.5;
67;31.8768;0;7.92626e+06;73744.1;
68;32.3456;0;7.92519e+06;74814.6;
69;32.8144;0;7.92411e+06;75885.2;
70;33.2831;0;7.92304e+06;76955.7;
71;33.7519;0;7.92197e+06;78026.2;
72;34.2207;0;7.9209e+06;79096.8;
73;34.6895;0;7.91983e+06;80167.3;
74;35.1582;0;7.91876e+06;81237.9;
75;35.627;0;7.91769e+06;82308.4;
76;36.0958;0;7.91662e+06;83379;
77;36.5646;0;7.91555e+06;84449.5;
78;37.0333;0;7.91448e+06;85520.1;
79;37.5021;0;7.91341e+06;86590.6;
80;37.9709;0;7.91234e+06;87661.2;
81;38.4397;0;7.90935e+06;90647.6;
82;38.9084;0;7.90618e+06;93818.2;
83;39.3772;0;7.90301e+06;96988.8;
84;39.846;0;7.89984e+06;100159;
85;40.3148;0;7.89667e+06;103330;
86;40.7835;0;7.8935e+06;106501;
87;41.2523;0;7.89033e+06;109671;
88;41.7211;0;7.88716e+06;112842;
89;42.1899;0;7.88399e+06;116012;
90;42.6587;0;7.88082e+06;119183;
91;43.1274;0;7.87765e+06;122353;
92;43.5962;0;7.87448e+06;125524;
93;44.065;0;7.87131e+06;128695;
94;44.5338;0;7.86813e+06;131865;
95;45.0025;0;7.86496e+06;135036;
96;45.4713;0;7.86179e+06;138206;
97;45.9401;0;7.85862e+06;141377;
98;46.4089;0;7.85545e+06;144548;
99;46.8776;0;7.85228e+06;147718;
100;47.3464;0;7.84911e+06;150889;
101;47.8152;0;7.84594e+06;154059;
102;48.284;0;7.84277e+06;157230;
103;48.7527;0;7.8396e+06;160400;
104;49.2215;0;7.83643e+06;163571;
105;49.6903;0;7.83326e+06;166742;
106;50.1591;0;7.83009e+06;169912;
107;50.6279;0;7.82692e+06;173083;
108;51.0966;0;7.82375e+06;176253;
109;51.5654;0;7.82058e+06;179424;
110;52.0342;0;7.81741e+06;182594;
111;52.503;0;7.81423e+06;185765;
112;52.9717;0;7.81106e+06;188936;
113;53.4405;0;7.80668e+06;193322;
